,columns,missing values count
0,Sensor - 1,6
1,Sensor - 2,19
2,Sensor - 3,80
3,Sensor - 4,80
4,Sensor - 5,80
5,Sensor - 6,80
6,Sensor - 7,80
7,Sensor - 8,52
8,Sensor - 9,14
9,Sensor - 10,14
10,Sensor - 11,14
11,Sensor - 12,14
12,Sensor - 13,14
13,Sensor - 14,21
14,Sensor - 15,21
15,Sensor - 16,21
16,Sensor - 17,21
17,Sensor - 18,21
18,Sensor - 19,21
19,Sensor - 20,0
20,Sensor - 21,0
21,Sensor - 22,6
22,Sensor - 23,6
23,Sensor - 24,6
24,Sensor - 25,6
25,Sensor - 26,6
26,Sensor - 27,6
27,Sensor - 28,6
28,Sensor - 29,6
29,Sensor - 30,6
30,Sensor - 31,6
31,Sensor - 32,6
32,Sensor - 33,0
33,Sensor - 34,0
34,Sensor - 35,0
35,Sensor - 36,0
36,Sensor - 37,0
37,Sensor - 38,0
38,Sensor - 39,0
39,Sensor - 40,0
40,Sensor - 41,93
41,Sensor - 42,93
42,Sensor - 43,0
43,Sensor - 44,0
44,Sensor - 45,0
45,Sensor - 46,0
46,Sensor - 47,0
47,Sensor - 48,0
48,Sensor - 49,0
49,Sensor - 50,0
50,Sensor - 51,0
51,Sensor - 52,0
52,Sensor - 53,0
53,Sensor - 54,6
54,Sensor - 55,6
55,Sensor - 56,6
56,Sensor - 57,6
57,Sensor - 58,6
58,Sensor - 59,6
59,Sensor - 60,32
60,Sensor - 61,32
61,Sensor - 62,32
62,Sensor - 63,32
63,Sensor - 64,32
64,Sensor - 65,32
65,Sensor - 66,32
66,Sensor - 67,32
67,Sensor - 68,32
68,Sensor - 69,32
69,Sensor - 70,32
70,Sensor - 71,32
71,Sensor - 72,32
72,Sensor - 73,3390
73,Sensor - 74,3390
74,Sensor - 75,32
75,Sensor - 76,168
76,Sensor - 77,168
77,Sensor - 78,168
78,Sensor - 79,168
79,Sensor - 80,168
80,Sensor - 81,168
81,Sensor - 82,168
82,Sensor - 83,168
83,Sensor - 84,7
84,Sensor - 85,12
85,Sensor - 86,3919
86,Sensor - 87,0
87,Sensor - 88,0
88,Sensor - 89,0
89,Sensor - 90,317
90,Sensor - 91,317
91,Sensor - 92,31
92,Sensor - 93,13
93,Sensor - 94,13
94,Sensor - 95,31
95,Sensor - 96,31
96,Sensor - 97,31
97,Sensor - 98,31
98,Sensor - 99,31
99,Sensor - 100,31
100,Sensor - 101,31
101,Sensor - 102,31
102,Sensor - 103,31
103,Sensor - 104,13
104,Sensor - 105,13
105,Sensor - 106,31
106,Sensor - 107,31
107,Sensor - 108,31
108,Sensor - 109,31
109,Sensor - 110,1827
110,Sensor - 111,1827
111,Sensor - 112,1827
112,Sensor - 113,3580
113,Sensor - 114,0
114,Sensor - 115,0
115,Sensor - 116,0
116,Sensor - 117,0
117,Sensor - 118,0
118,Sensor - 119,168
119,Sensor - 120,0
120,Sensor - 121,0
121,Sensor - 122,21
122,Sensor - 123,21
123,Sensor - 124,21
124,Sensor - 125,21
125,Sensor - 126,21
126,Sensor - 127,21
127,Sensor - 128,21
128,Sensor - 129,21
129,Sensor - 130,21
130,Sensor - 131,21
131,Sensor - 132,21
132,Sensor - 133,21
133,Sensor - 134,21
134,Sensor - 135,21
135,Sensor - 136,0
136,Sensor - 137,6
137,Sensor - 138,19
138,Sensor - 139,80
139,Sensor - 140,80
140,Sensor - 141,80
141,Sensor - 142,80
142,Sensor - 143,80
143,Sensor - 144,52
144,Sensor - 145,14
145,Sensor - 146,14
146,Sensor - 147,14
147,Sensor - 148,14
148,Sensor - 149,14
149,Sensor - 150,21
150,Sensor - 151,21
151,Sensor - 152,21
152,Sensor - 153,21
153,Sensor - 154,21
154,Sensor - 155,21
155,Sensor - 156,0
156,Sensor - 157,0
157,Sensor - 158,4934
158,Sensor - 159,4934
159,Sensor - 160,6
160,Sensor - 161,6
161,Sensor - 162,6
162,Sensor - 163,6
163,Sensor - 164,6
164,Sensor - 165,6
165,Sensor - 166,6
166,Sensor - 167,6
167,Sensor - 168,6
168,Sensor - 169,6
169,Sensor - 170,6
170,Sensor - 171,0
171,Sensor - 172,0
172,Sensor - 173,0
173,Sensor - 174,0
174,Sensor - 175,0
175,Sensor - 176,0
176,Sensor - 177,0
177,Sensor - 178,0
178,Sensor - 179,93
179,Sensor - 180,0
180,Sensor - 181,0
181,Sensor - 182,0
182,Sensor - 183,0
183,Sensor - 184,0
184,Sensor - 185,0
185,Sensor - 186,0
186,Sensor - 187,0
187,Sensor - 188,0
188,Sensor - 189,0
189,Sensor - 190,0
190,Sensor - 191,6
191,Sensor - 192,6
192,Sensor - 193,6
193,Sensor - 194,6
194,Sensor - 195,6
195,Sensor - 196,6
196,Sensor - 197,32
197,Sensor - 198,32
198,Sensor - 199,32
199,Sensor - 200,32
200,Sensor - 201,32
201,Sensor - 202,32
202,Sensor - 203,32
203,Sensor - 204,32
204,Sensor - 205,32
205,Sensor - 206,32
206,Sensor - 207,32
207,Sensor - 208,32
208,Sensor - 209,32
209,Sensor - 210,32
210,Sensor - 211,168
211,Sensor - 212,168
212,Sensor - 213,168
213,Sensor - 214,168
214,Sensor - 215,168
215,Sensor - 216,168
216,Sensor - 217,168
217,Sensor - 218,168
218,Sensor - 219,7
219,Sensor - 220,12
220,Sensor - 221,3919
221,Sensor - 222,0
222,Sensor - 223,0
223,Sensor - 224,0
224,Sensor - 225,317
225,Sensor - 226,317
226,Sensor - 227,31
227,Sensor - 228,13
228,Sensor - 229,13
229,Sensor - 230,31
230,Sensor - 231,31
231,Sensor - 232,31
232,Sensor - 233,31
233,Sensor - 234,31
234,Sensor - 235,31
235,Sensor - 236,31
236,Sensor - 237,31
237,Sensor - 238,31
238,Sensor - 239,13
239,Sensor - 240,13
240,Sensor - 241,31
241,Sensor - 242,31
242,Sensor - 243,31
243,Sensor - 244,31
244,Sensor - 245,1827
245,Sensor - 246,1827
246,Sensor - 247,1827
247,Sensor - 248,3580
248,Sensor - 249,0
249,Sensor - 250,0
250,Sensor - 251,0
251,Sensor - 252,0
252,Sensor - 253,0
253,Sensor - 254,168
254,Sensor - 255,0
255,Sensor - 256,0
256,Sensor - 257,21
257,Sensor - 258,21
258,Sensor - 259,21
259,Sensor - 260,21
260,Sensor - 261,21
261,Sensor - 262,21
262,Sensor - 263,21
263,Sensor - 264,21
264,Sensor - 265,21
265,Sensor - 266,21
266,Sensor - 267,21
267,Sensor - 268,21
268,Sensor - 269,21
269,Sensor - 270,21
270,Sensor - 271,0
271,Sensor - 272,6
272,Sensor - 273,19
273,Sensor - 274,80
274,Sensor - 275,80
275,Sensor - 276,80
276,Sensor - 277,80
277,Sensor - 278,80
278,Sensor - 279,52
279,Sensor - 280,14
280,Sensor - 281,14
281,Sensor - 282,14
282,Sensor - 283,14
283,Sensor - 284,14
284,Sensor - 285,21
285,Sensor - 286,21
286,Sensor - 287,21
287,Sensor - 288,21
288,Sensor - 289,21
289,Sensor - 290,21
290,Sensor - 291,0
291,Sensor - 292,0
292,Sensor - 293,4934
293,Sensor - 294,4934
294,Sensor - 295,6
295,Sensor - 296,6
296,Sensor - 297,6
297,Sensor - 298,6
298,Sensor - 299,6
299,Sensor - 300,6
300,Sensor - 301,6
301,Sensor - 302,6
302,Sensor - 303,6
303,Sensor - 304,6
304,Sensor - 305,6
305,Sensor - 306,0
306,Sensor - 307,0
307,Sensor - 308,0
308,Sensor - 309,0
309,Sensor - 310,0
310,Sensor - 311,0
311,Sensor - 312,0
312,Sensor - 313,0
313,Sensor - 314,93
314,Sensor - 315,93
315,Sensor - 316,0
316,Sensor - 317,0
317,Sensor - 318,0
318,Sensor - 319,0
319,Sensor - 320,0
320,Sensor - 321,0
321,Sensor - 322,0
322,Sensor - 323,0
323,Sensor - 324,0
324,Sensor - 325,0
325,Sensor - 326,0
326,Sensor - 327,6
327,Sensor - 328,6
328,Sensor - 329,6
329,Sensor - 330,6
330,Sensor - 331,6
331,Sensor - 332,6
332,Sensor - 333,32
333,Sensor - 334,32
334,Sensor - 335,32
335,Sensor - 336,32
336,Sensor - 337,32
337,Sensor - 338,32
338,Sensor - 339,32
339,Sensor - 340,32
